dataset,class_id,class_name,test_count,correct,top1_acc
blur_k15,0,s1,2,1,0.5
blur_k15,1,s2,2,2,1.0
blur_k15,2,s3,2,2,1.0
blur_k15,3,s4,2,2,1.0
blur_k15,4,s5,2,2,1.0
blur_k15,5,s6,2,2,1.0
blur_k15,6,s7,2,2,1.0
blur_k15,7,s8,2,2,1.0
blur_k15,8,s9,2,2,1.0
blur_k15,9,s10,2,2,1.0
blur_k15,10,s11,2,2,1.0
blur_k15,11,s12,2,2,1.0
blur_k15,12,s13,2,1,0.5
blur_k15,13,s14,2,2,1.0
blur_k15,14,s15,2,2,1.0
blur_k15,15,s16,2,2,1.0
blur_k15,16,s17,2,2,1.0
blur_k15,17,s18,2,2,1.0
blur_k15,18,s19,2,2,1.0
blur_k15,19,s20,2,1,0.5
blur_k15,20,s21,2,2,1.0
blur_k15,21,s22,2,2,1.0
blur_k15,22,s23,2,2,1.0
blur_k15,23,s24,2,2,1.0
blur_k15,24,s25,2,2,1.0
blur_k15,25,s26,2,2,1.0
blur_k15,26,s27,2,2,1.0
blur_k15,27,s28,2,2,1.0
blur_k15,28,s29,2,1,0.5
blur_k15,29,s30,2,2,1.0
blur_k15,30,s31,2,2,1.0
blur_k15,31,s32,2,2,1.0
blur_k15,32,s33,2,2,1.0
blur_k15,33,s34,2,2,1.0
blur_k15,34,s35,2,0,0.0
blur_k15,35,s36,2,2,1.0
blur_k15,36,s37,2,2,1.0
blur_k15,37,s38,2,2,1.0
blur_k15,38,s39,2,2,1.0
blur_k15,39,s40,2,1,0.5
