dataset,class_id,class_name,test_count,correct,top1_acc
blur_k99,0,s1,2,1,0.5
blur_k99,1,s2,2,2,1.0
blur_k99,2,s3,2,1,0.5
blur_k99,3,s4,2,0,0.0
blur_k99,4,s5,2,0,0.0
blur_k99,5,s6,2,2,1.0
blur_k99,6,s7,2,1,0.5
blur_k99,7,s8,2,2,1.0
blur_k99,8,s9,2,2,1.0
blur_k99,9,s10,2,2,1.0
blur_k99,10,s11,2,2,1.0
blur_k99,11,s12,2,2,1.0
blur_k99,12,s13,2,0,0.0
blur_k99,13,s14,2,2,1.0
blur_k99,14,s15,2,2,1.0
blur_k99,15,s16,2,1,0.5
blur_k99,16,s17,2,2,1.0
blur_k99,17,s18,2,2,1.0
blur_k99,18,s19,2,1,0.5
blur_k99,19,s20,2,2,1.0
blur_k99,20,s21,2,2,1.0
blur_k99,21,s22,2,2,1.0
blur_k99,22,s23,2,2,1.0
blur_k99,23,s24,2,2,1.0
blur_k99,24,s25,2,2,1.0
blur_k99,25,s26,2,2,1.0
blur_k99,26,s27,2,2,1.0
blur_k99,27,s28,2,1,0.5
blur_k99,28,s29,2,1,0.5
blur_k99,29,s30,2,2,1.0
blur_k99,30,s31,2,2,1.0
blur_k99,31,s32,2,1,0.5
blur_k99,32,s33,2,2,1.0
blur_k99,33,s34,2,2,1.0
blur_k99,34,s35,2,2,1.0
blur_k99,35,s36,2,2,1.0
blur_k99,36,s37,2,2,1.0
blur_k99,37,s38,2,2,1.0
blur_k99,38,s39,2,2,1.0
blur_k99,39,s40,2,1,0.5
