epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.690873,0.025,3.688777,0.025,0.1875,3.688494,0.0125,0.15
2,3.690512,0.029167,3.688124,0.025,0.1625,3.687854,0.025,0.175
3,3.686446,0.025,3.687255,0.025,0.175,3.686999,0.025,0.1625
4,3.686809,0.029167,3.686227,0.025,0.2,3.685905,0.0125,0.1875
5,3.68609,0.033333,3.68517,0.025,0.175,3.684873,0.025,0.1875
6,3.682294,0.029167,3.68413,0.025,0.2,3.683762,0.025,0.1875
7,3.683451,0.0375,3.683007,0.0375,0.1875,3.682487,0.025,0.1625
8,3.681403,0.0375,3.681477,0.025,0.225,3.681037,0.0125,0.1875
9,3.680089,0.05,3.679659,0.025,0.2375,3.679376,0.05,0.2
10,3.683505,0.0375,3.677797,0.1125,0.2125,3.67759,0.05,0.2
11,3.67523,0.041667,3.675749,0.1,0.225,3.675567,0.0625,0.2375
12,3.674946,0.033333,3.673359,0.1,0.2375,3.673229,0.0625,0.225
13,3.669871,0.054167,3.67056,0.0875,0.2375,3.670525,0.075,0.1875
14,3.671697,0.054167,3.667091,0.0875,0.225,3.667063,0.075,0.2125
15,3.666634,0.070833,3.662762,0.0875,0.25,3.662841,0.0625,0.2
16,3.661723,0.058333,3.657439,0.0875,0.2375,3.657721,0.0625,0.2
17,3.654475,0.054167,3.651184,0.075,0.2375,3.651551,0.075,0.2
18,3.649998,0.045833,3.643205,0.075,0.225,3.64371,0.075,0.1875
19,3.636907,0.054167,3.632861,0.0875,0.25,3.633882,0.0875,0.175
20,3.633498,0.041667,3.620045,0.0875,0.2,3.621642,0.0875,0.175
21,3.615142,0.0625,3.604087,0.0875,0.225,3.606012,0.0875,0.175
22,3.594358,0.075,3.583136,0.0875,0.225,3.585408,0.0875,0.2
23,3.573047,0.070833,3.55501,0.0875,0.225,3.558364,0.0875,0.2125
24,3.549542,0.075,3.517508,0.0875,0.2375,3.522481,0.0875,0.225
25,3.512003,0.091667,3.4673,0.1,0.275,3.474239,0.0875,0.2375
26,3.46563,0.095833,3.399664,0.1125,0.4,3.409452,0.0875,0.325
27,3.409778,0.075,3.306849,0.1625,0.4875,3.317907,0.1625,0.4875
28,3.285372,0.15,3.168659,0.1375,0.5375,3.181566,0.15,0.6125
29,3.17948,0.15,2.994356,0.225,0.6,3.007311,0.2625,0.625
30,3.027184,0.191667,2.780339,0.2375,0.6875,2.782845,0.325,0.725
31,2.793517,0.225,2.532372,0.3125,0.75,2.516569,0.2875,0.8375
32,2.632877,0.225,2.269465,0.3375,0.825,2.256016,0.375,0.8625
33,2.434147,0.295833,2.092511,0.425,0.8,2.066646,0.525,0.875
34,2.367253,0.291667,1.918482,0.4625,0.85,1.918915,0.4625,0.8625
35,2.267918,0.3,1.877964,0.4875,0.9,1.873029,0.525,0.8375
36,2.214778,0.325,1.857437,0.4375,0.8,1.789244,0.5375,0.85
37,2.039772,0.3375,1.654394,0.5875,0.875,1.588145,0.5875,0.875
38,1.823274,0.4125,1.629911,0.525,0.875,1.560713,0.55,0.875
39,1.945394,0.408333,1.561476,0.575,0.9,1.463709,0.65,0.8875
40,1.69445,0.466667,1.508731,0.6375,0.85,1.45231,0.675,0.8875
41,1.653182,0.445833,1.416393,0.55,0.9,1.402809,0.575,0.8875
42,1.485301,0.495833,1.525311,0.5375,0.875,1.343574,0.65,0.925
43,1.628872,0.4875,1.420204,0.4875,0.925,1.342602,0.5375,0.925
44,1.653444,0.425,1.578047,0.475,0.8875,1.5027,0.55,0.925
45,1.665035,0.4625,1.435585,0.525,0.925,1.33761,0.5625,0.925
46,1.606453,0.45,1.334003,0.6,0.9125,1.252382,0.6125,0.95
47,1.637495,0.4375,1.273665,0.65,0.9375,1.2131,0.65,0.95
48,1.6262,0.466667,1.299303,0.6375,0.9375,1.278466,0.65,0.95
49,1.459612,0.5375,1.23752,0.6375,0.95,1.181069,0.675,0.9375
50,1.458705,0.504167,1.141661,0.7,0.95,1.101417,0.6875,0.9375
51,1.205357,0.583333,1.101258,0.6625,0.9375,1.071933,0.7,0.95
52,1.29504,0.595833,1.01811,0.7125,0.95,0.966673,0.725,0.9375
53,1.303782,0.575,0.971204,0.7125,0.95,0.980794,0.7375,0.95
54,1.201715,0.604167,1.003014,0.7,0.9375,0.950031,0.75,0.975
55,1.257324,0.595833,1.058004,0.7,0.9625,1.069311,0.675,0.95
56,1.182609,0.604167,1.0686,0.7375,0.95,0.996117,0.7625,0.95
57,1.160939,0.6125,1.049691,0.7,0.95,1.000955,0.75,0.9625
58,1.13584,0.633333,0.974932,0.7125,0.9625,0.909678,0.7375,0.975
59,1.213285,0.595833,0.907267,0.7375,0.925,0.853436,0.8,0.95
60,1.04494,0.6625,0.937269,0.7125,0.95,0.929284,0.7125,0.95
61,1.106746,0.633333,0.870684,0.725,0.95,0.831569,0.725,0.9625
62,1.114612,0.6,0.884377,0.7625,0.9375,0.879186,0.7625,0.975
63,0.959728,0.666667,0.864872,0.775,0.95,0.837105,0.7375,0.9875
64,1.104273,0.625,0.885646,0.7125,0.925,0.81311,0.7625,0.9875
65,0.990731,0.658333,0.764677,0.775,0.975,0.808946,0.8,0.9875
66,1.018976,0.654167,0.782985,0.8125,0.9625,0.858792,0.7,0.9875
67,1.103906,0.6,0.746931,0.775,0.9625,0.834438,0.75,0.9875
68,0.86498,0.7125,0.775072,0.7125,0.975,0.88328,0.725,0.9875
69,0.985386,0.654167,0.716711,0.7625,0.9875,0.817318,0.7375,0.9875
70,0.96577,0.658333,0.973958,0.6375,0.95,1.045333,0.6875,0.9625
71,1.062388,0.654167,0.794599,0.75,0.9875,0.799585,0.7625,0.975
72,1.027435,0.658333,0.845827,0.75,0.9875,0.784692,0.775,0.975
