epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.689417,0.025,3.688715,0.0375,0.1375,3.688639,0.025,0.15
2,3.689483,0.041667,3.688251,0.025,0.1375,3.688201,0.0375,0.125
3,3.687089,0.020833,3.68763,0.025,0.125,3.687603,0.0375,0.15
4,3.687091,0.020833,3.68689,0.025,0.125,3.686866,0.0375,0.1375
5,3.686834,0.033333,3.686068,0.025,0.1625,3.686024,0.0375,0.1625
6,3.684331,0.0375,3.685117,0.0375,0.175,3.685067,0.0375,0.1875
7,3.684929,0.016667,3.684114,0.0625,0.1875,3.684047,0.0375,0.1875
8,3.683046,0.05,3.683036,0.0875,0.1875,3.682935,0.05,0.2
9,3.682266,0.0375,3.681769,0.075,0.1875,3.68167,0.05,0.2125
10,3.683463,0.0375,3.680372,0.0875,0.2,3.680313,0.075,0.2
11,3.678984,0.058333,3.678806,0.0875,0.2375,3.678766,0.075,0.2375
12,3.677481,0.045833,3.676962,0.0875,0.225,3.676919,0.075,0.2375
13,3.675768,0.054167,3.674839,0.0625,0.225,3.674747,0.0625,0.25
14,3.674606,0.05,3.672313,0.0625,0.2125,3.672173,0.0625,0.25
15,3.670792,0.058333,3.669273,0.1125,0.2125,3.669082,0.0875,0.225
16,3.667282,0.066667,3.665459,0.1,0.2,3.665218,0.1,0.2375
17,3.663103,0.058333,3.660899,0.1,0.2125,3.660579,0.1,0.2
18,3.656793,0.05,3.655143,0.1,0.225,3.654711,0.0875,0.1875
19,3.650947,0.066667,3.647841,0.1,0.2125,3.647348,0.0875,0.2125
20,3.643927,0.05,3.638719,0.1,0.25,3.637996,0.0875,0.225
21,3.635628,0.066667,3.627226,0.1,0.25,3.626131,0.0875,0.2125
22,3.615415,0.079167,3.611733,0.1,0.2125,3.610308,0.0875,0.2125
23,3.609002,0.0625,3.591352,0.1,0.2,3.589874,0.0875,0.2125
24,3.581981,0.070833,3.565133,0.1,0.2125,3.563631,0.0875,0.225
25,3.557597,0.075,3.530755,0.1,0.25,3.529713,0.0875,0.2625
26,3.52103,0.083333,3.48667,0.1,0.25,3.485691,0.0875,0.25
27,3.479062,0.091667,3.429249,0.1,0.2375,3.428419,0.1,0.2625
28,3.410603,0.095833,3.350614,0.1125,0.2875,3.349673,0.1125,0.3
29,3.358028,0.083333,3.243773,0.1125,0.4875,3.241289,0.1125,0.475
30,3.23283,0.133333,3.104897,0.1625,0.5375,3.101453,0.2125,0.5625
31,3.139649,0.166667,2.924197,0.225,0.6625,2.918201,0.225,0.6625
32,2.967496,0.170833,2.704234,0.275,0.6375,2.694644,0.325,0.6875
33,2.747008,0.254167,2.458961,0.325,0.7,2.4355,0.3875,0.775
34,2.543086,0.220833,2.230167,0.4125,0.7,2.163971,0.4875,0.8125
35,2.469191,0.2375,2.01382,0.3875,0.825,1.948795,0.4375,0.825
36,2.180084,0.354167,1.835101,0.4875,0.8875,1.724808,0.6125,0.9
37,2.069437,0.341667,1.687576,0.525,0.8625,1.593047,0.5875,0.875
38,1.904271,0.370833,1.586729,0.5625,0.9,1.507398,0.5625,0.8875
39,1.735821,0.45,1.515577,0.5125,0.8625,1.465711,0.6125,0.8875
40,1.590945,0.516667,1.414901,0.5625,0.9,1.361732,0.6,0.9
41,1.541692,0.545833,1.244849,0.6125,0.9375,1.129075,0.7,0.95
42,1.270339,0.579167,1.358126,0.575,0.9,1.247543,0.6125,0.9375
43,1.341545,0.566667,1.211148,0.6625,0.9125,1.187195,0.6875,0.925
44,1.329048,0.566667,1.174347,0.6875,0.9375,1.099359,0.7,0.9375
45,1.323862,0.55,1.065446,0.675,0.95,1.079265,0.675,0.95
46,1.174165,0.629167,0.953142,0.725,0.925,0.93223,0.7375,0.975
47,1.133758,0.608333,0.908341,0.7,0.925,0.910594,0.7375,0.9625
48,1.177097,0.591667,1.000989,0.675,0.95,0.919117,0.75,0.95
49,1.165219,0.645833,0.912864,0.75,0.9625,0.84558,0.8,0.9625
50,0.985041,0.654167,0.874712,0.6875,0.975,0.906209,0.775,0.95
51,1.059015,0.616667,0.890141,0.725,0.9125,0.833245,0.75,0.9625
52,0.936663,0.6875,0.838348,0.75,0.95,0.772553,0.7625,0.975
53,0.942766,0.716667,0.747612,0.7625,0.9625,0.77121,0.7625,0.9875
54,0.83099,0.75,0.72978,0.775,0.95,0.741364,0.8,0.9875
55,0.806221,0.7125,0.720093,0.775,0.95,0.737103,0.825,0.975
56,0.706906,0.791667,0.724159,0.8125,0.975,0.725521,0.825,0.975
57,0.711696,0.758333,0.699158,0.8125,0.975,0.669622,0.8125,0.975
58,0.662491,0.75,0.667817,0.8,0.9625,0.647369,0.8375,0.975
59,0.778443,0.779167,0.66789,0.7875,0.9625,0.671625,0.7875,0.9875
60,0.714328,0.775,0.709267,0.7875,0.95,0.786525,0.8,0.975
61,0.766277,0.745833,0.682066,0.8,0.95,0.825926,0.7625,0.95
62,0.729576,0.741667,0.682985,0.775,0.95,0.799882,0.7875,0.95
63,0.669055,0.779167,0.704334,0.8125,0.95,0.793727,0.8125,0.9625
64,0.572145,0.808333,0.827648,0.7625,0.9375,0.732542,0.8375,0.975
65,0.796737,0.745833,0.67292,0.825,0.975,0.675785,0.8375,0.9875
66,0.855186,0.7125,0.702221,0.8125,0.975,0.765384,0.8125,0.975
67,0.832192,0.7125,0.717994,0.8,0.9875,0.880536,0.7875,0.975
68,0.859696,0.683333,0.686978,0.825,0.95,0.82912,0.825,0.9875
69,0.700644,0.7375,0.645553,0.825,0.9625,0.692972,0.8,0.9625
70,0.756086,0.741667,0.63235,0.85,0.975,0.685378,0.8125,0.975
71,0.693426,0.766667,0.643507,0.825,0.95,0.689175,0.8,0.9625
72,0.835596,0.725,0.674246,0.8,0.95,0.751948,0.775,0.975
73,0.722264,0.729167,0.733289,0.7375,0.9625,0.790512,0.8125,0.975
74,0.783638,0.7375,0.749776,0.775,0.975,0.785724,0.8375,0.975
75,0.861183,0.720833,0.736027,0.8,0.95,0.777969,0.8125,0.975
76,0.62214,0.8,0.698399,0.8,0.9625,0.741553,0.85,0.975
77,0.735486,0.729167,0.605923,0.825,0.9625,0.712963,0.8125,0.9625
78,0.728268,0.758333,0.556635,0.825,0.9375,0.661067,0.8,0.975
