epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.689676,0.025,3.688447,0.025,0.125,3.688269,0.0375,0.1375
2,3.689441,0.033333,3.687923,0.025,0.125,3.687805,0.0375,0.1375
3,3.686703,0.033333,3.687229,0.025,0.1375,3.687194,0.0375,0.1625
4,3.686752,0.016667,3.686416,0.0375,0.15,3.686433,0.0375,0.175
5,3.686439,0.041667,3.685539,0.0375,0.15,3.685567,0.0375,0.1875
6,3.683792,0.033333,3.684603,0.05,0.175,3.684588,0.0375,0.2
7,3.684605,0.029167,3.683593,0.0625,0.1875,3.683557,0.05,0.2125
8,3.682516,0.05,3.682481,0.075,0.2,3.682408,0.0625,0.225
9,3.681751,0.05,3.681171,0.0875,0.1875,3.681091,0.0625,0.2
10,3.682913,0.0375,3.679731,0.0875,0.225,3.679663,0.075,0.1875
11,3.678394,0.058333,3.678115,0.1,0.2125,3.67808,0.0625,0.2125
12,3.676805,0.045833,3.676194,0.075,0.2125,3.676219,0.05,0.225
13,3.675,0.054167,3.67396,0.075,0.225,3.674062,0.075,0.2125
14,3.674297,0.045833,3.671357,0.075,0.2375,3.67151,0.075,0.1875
15,3.670104,0.058333,3.668247,0.075,0.2125,3.668437,0.075,0.225
16,3.666747,0.058333,3.664309,0.1,0.2375,3.664526,0.0875,0.2375
17,3.662034,0.058333,3.659612,0.1,0.2625,3.659866,0.0875,0.225
18,3.655903,0.045833,3.653656,0.1,0.2625,3.654051,0.0875,0.225
19,3.650197,0.066667,3.646054,0.1,0.2625,3.646633,0.0875,0.225
20,3.642312,0.045833,3.636572,0.1,0.2625,3.637167,0.0875,0.225
21,3.633493,0.0625,3.624535,0.1,0.2625,3.625332,0.0875,0.2
22,3.614648,0.0875,3.608409,0.1,0.225,3.609461,0.0875,0.2125
23,3.606594,0.054167,3.587402,0.1,0.2375,3.588808,0.0875,0.2125
24,3.579989,0.0625,3.561055,0.0875,0.2375,3.562911,0.0875,0.225
25,3.552814,0.066667,3.526392,0.1,0.2375,3.529185,0.0875,0.25
26,3.519207,0.0875,3.481323,0.1125,0.2375,3.48507,0.1,0.225
27,3.477242,0.079167,3.422332,0.1125,0.25,3.427731,0.1,0.25
28,3.407583,0.1,3.340263,0.1125,0.35,3.347615,0.125,0.325
29,3.355652,0.075,3.230834,0.15,0.5125,3.238118,0.1375,0.5125
30,3.227692,0.154167,3.090345,0.1875,0.525,3.096521,0.2375,0.5625
31,3.116836,0.154167,2.908667,0.2,0.6125,2.911211,0.2375,0.6625
32,2.964105,0.158333,2.685753,0.3,0.625,2.681714,0.35,0.6875
33,2.72926,0.25,2.434409,0.3125,0.6875,2.417489,0.3625,0.8
34,2.530795,0.229167,2.203825,0.3875,0.7625,2.149264,0.4625,0.8125
35,2.450005,0.254167,1.964525,0.425,0.85,1.907915,0.4875,0.8375
36,2.170981,0.308333,1.859245,0.45,0.875,1.763163,0.5375,0.8875
37,2.151372,0.333333,1.703617,0.5625,0.875,1.633619,0.55,0.875
38,1.920916,0.358333,1.643846,0.525,0.8625,1.58914,0.5375,0.9125
39,1.770527,0.429167,1.59467,0.4875,0.85,1.554001,0.525,0.9125
40,1.645431,0.491667,1.516602,0.5125,0.8625,1.484156,0.5875,0.925
41,1.71683,0.475,1.30632,0.55,0.9375,1.209924,0.65,0.9625
