epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.690715,0.020833,3.688636,0.025,0.1625,3.688429,0.0125,0.15
2,3.690345,0.029167,3.68792,0.0375,0.175,3.687749,0.025,0.1625
3,3.686157,0.033333,3.686976,0.0375,0.175,3.686764,0.025,0.175
4,3.686467,0.025,3.685837,0.0375,0.175,3.685708,0.0375,0.1875
5,3.685915,0.029167,3.684776,0.05,0.2,3.684629,0.025,0.1875
6,3.68217,0.0375,3.683701,0.0375,0.2,3.683493,0.0125,0.175
7,3.683428,0.045833,3.682569,0.0375,0.1875,3.682315,0.0375,0.1875
8,3.681088,0.041667,3.681211,0.05,0.2125,3.680815,0.05,0.1875
9,3.680074,0.041667,3.679496,0.075,0.2375,3.679028,0.05,0.225
10,3.681936,0.025,3.677653,0.0875,0.2375,3.677201,0.075,0.225
11,3.674817,0.045833,3.675462,0.0875,0.2625,3.675062,0.075,0.2375
12,3.674169,0.041667,3.672839,0.075,0.275,3.672416,0.0625,0.2125
13,3.669731,0.0375,3.669799,0.0625,0.2875,3.669319,0.0625,0.2375
14,3.669691,0.066667,3.666128,0.0875,0.2375,3.665537,0.0625,0.2375
15,3.665257,0.075,3.661716,0.0875,0.2375,3.661114,0.075,0.2375
16,3.662483,0.05,3.656127,0.0875,0.25,3.655558,0.0875,0.2125
17,3.653379,0.05,3.649377,0.0875,0.25,3.648914,0.0875,0.2125
18,3.64777,0.066667,3.640738,0.0875,0.225,3.64045,0.075,0.2125
19,3.635507,0.0625,3.629665,0.0875,0.2125,3.629739,0.0875,0.1875
20,3.629018,0.054167,3.615821,0.0875,0.225,3.616128,0.075,0.1875
21,3.611803,0.066667,3.597888,0.0875,0.225,3.598518,0.075,0.2
22,3.586256,0.066667,3.573728,0.0875,0.225,3.574712,0.075,0.2
23,3.569238,0.070833,3.542051,0.0875,0.2625,3.543517,0.0875,0.2375
24,3.533885,0.066667,3.500384,0.0875,0.25,3.502779,0.0875,0.25
25,3.499134,0.079167,3.44371,0.1125,0.3,3.447737,0.1125,0.3
26,3.443686,0.095833,3.367622,0.1125,0.425,3.373816,0.125,0.375
27,3.388161,0.075,3.26089,0.1125,0.5625,3.270243,0.15,0.5625
28,3.255493,0.141667,3.101843,0.1625,0.65,3.114614,0.225,0.6375
29,3.14373,0.145833,2.912579,0.2125,0.6625,2.922599,0.2375,0.7125
