epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.698128,0.025,3.690545,0.025,0.125,3.691204,0.025,0.1375
2,3.696935,0.029167,3.690353,0.025,0.125,3.690818,0.025,0.1375
3,3.691496,0.020833,3.689991,0.025,0.125,3.690273,0.025,0.125
4,3.692106,0.025,3.689361,0.025,0.125,3.689967,0.025,0.15
5,3.693261,0.029167,3.689212,0.025,0.125,3.689677,0.025,0.125
6,3.68702,0.029167,3.689049,0.025,0.1125,3.689371,0.025,0.1125
7,3.687862,0.0375,3.68846,0.0375,0.125,3.688989,0.0125,0.125
8,3.690202,0.033333,3.688062,0.025,0.125,3.688662,0.025,0.1375
9,3.687392,0.0375,3.687836,0.025,0.125,3.68837,0.025,0.125
10,3.695346,0.041667,3.687686,0.025,0.15,3.688119,0.025,0.125
11,3.687234,0.016667,3.687371,0.05,0.1375,3.688038,0.0375,0.1125
12,3.689334,0.020833,3.687272,0.0375,0.125,3.6881,0.0375,0.1375
13,3.685373,0.025,3.687023,0.05,0.125,3.687884,0.025,0.15
14,3.693381,0.033333,3.68685,0.025,0.15,3.687723,0.025,0.15
15,3.688248,0.0125,3.686744,0.025,0.125,3.687614,0.025,0.125
16,3.685787,0.041667,3.686766,0.025,0.1375,3.687661,0.025,0.15
17,3.689249,0.0375,3.686677,0.025,0.1625,3.687615,0.025,0.15
18,3.688786,0.041667,3.686473,0.025,0.175,3.687389,0.025,0.1875
19,3.685799,0.041667,3.686129,0.0375,0.15,3.687229,0.025,0.125
20,3.686666,0.0375,3.685781,0.025,0.15,3.687015,0.025,0.125
21,3.694034,0.020833,3.685584,0.025,0.15,3.686813,0.025,0.15
22,3.689953,0.029167,3.685484,0.025,0.1375,3.686618,0.025,0.15
23,3.68305,0.020833,3.685216,0.025,0.1375,3.686401,0.025,0.15
24,3.689202,0.016667,3.685088,0.025,0.175,3.686146,0.025,0.15
25,3.685538,0.029167,3.68501,0.025,0.1625,3.686024,0.025,0.125
26,3.684438,0.029167,3.684774,0.025,0.15,3.685776,0.025,0.125
27,3.68259,0.020833,3.684435,0.05,0.1625,3.685464,0.05,0.15
28,3.684672,0.020833,3.684093,0.0625,0.15,3.685041,0.0625,0.1375
29,3.686433,0.025,3.683749,0.05,0.15,3.684711,0.0375,0.15
30,3.680927,0.033333,3.683392,0.075,0.15,3.68433,0.025,0.15
31,3.682213,0.029167,3.682931,0.1,0.1625,3.683899,0.025,0.1625
32,3.678545,0.05,3.682456,0.0875,0.1625,3.683482,0.025,0.175
33,3.68242,0.029167,3.681997,0.0625,0.175,3.683014,0.05,0.1625
34,3.680386,0.029167,3.681486,0.0625,0.1625,3.682564,0.05,0.175
35,3.680452,0.054167,3.680978,0.0625,0.2,3.682035,0.0625,0.1375
36,3.680284,0.029167,3.680489,0.0625,0.2,3.681493,0.0375,0.1875
37,3.681073,0.025,3.679953,0.0625,0.1625,3.680891,0.05,0.1875
