epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.691526,0.025,3.689477,0.025,0.125,3.689063,0.0375,0.1
2,3.691323,0.029167,3.689059,0.0375,0.1375,3.688602,0.0375,0.1375
3,3.687901,0.025,3.688396,0.05,0.15,3.687997,0.0375,0.1625
4,3.687492,0.016667,3.687668,0.0375,0.15,3.687343,0.0375,0.175
5,3.687715,0.020833,3.68697,0.0375,0.1625,3.686679,0.025,0.1625
6,3.683942,0.029167,3.686284,0.0375,0.1625,3.68601,0.025,0.15
7,3.685743,0.033333,3.685623,0.025,0.175,3.685225,0.025,0.125
8,3.684332,0.0375,3.684806,0.0375,0.175,3.684379,0.025,0.1125
9,3.682644,0.029167,3.683872,0.0625,0.175,3.683449,0.025,0.15
10,3.686949,0.029167,3.68292,0.0625,0.1625,3.682555,0.0375,0.15
11,3.680551,0.0375,3.681804,0.0625,0.2,3.681553,0.0375,0.1375
12,3.680243,0.05,3.68053,0.05,0.2125,3.680325,0.0375,0.175
13,3.678073,0.041667,3.6792,0.0625,0.2125,3.678957,0.0375,0.175
14,3.678225,0.041667,3.677522,0.05,0.1875,3.677265,0.0375,0.175
15,3.677933,0.045833,3.675655,0.05,0.2375,3.675203,0.0625,0.1875
16,3.670187,0.045833,3.673318,0.0375,0.225,3.672687,0.0625,0.2125
17,3.670871,0.054167,3.670535,0.0375,0.2125,3.66982,0.0625,0.2125
18,3.666986,0.045833,3.667084,0.0625,0.225,3.66648,0.075,0.25
19,3.661616,0.075,3.662746,0.1125,0.2125,3.662257,0.0875,0.25
20,3.656448,0.058333,3.657523,0.0875,0.2125,3.657016,0.075,0.2125
21,3.651216,0.070833,3.651131,0.075,0.2125,3.650691,0.075,0.2
22,3.639289,0.079167,3.642925,0.075,0.1875,3.642473,0.075,0.2
23,3.629603,0.079167,3.632161,0.075,0.1875,3.632255,0.075,0.1875
24,3.617885,0.0625,3.6188,0.0875,0.2125,3.619576,0.075,0.2
25,3.606506,0.070833,3.601728,0.0875,0.225,3.60287,0.0875,0.225
26,3.585606,0.079167,3.580283,0.0875,0.2375,3.580769,0.1,0.2375
27,3.567051,0.079167,3.552415,0.0875,0.2625,3.551138,0.1125,0.275
28,3.523361,0.1,3.513832,0.0875,0.3,3.510747,0.1,0.2875
29,3.486513,0.104167,3.460345,0.1,0.3375,3.457233,0.1125,0.3875
30,3.430152,0.120833,3.389398,0.125,0.425,3.386726,0.125,0.4875
31,3.337114,0.108333,3.294819,0.1625,0.4625,3.291172,0.175,0.55
32,3.244692,0.133333,3.17966,0.175,0.5125,3.166117,0.2,0.5875
33,3.108144,0.1875,3.023315,0.1875,0.525,2.994699,0.225,0.6
34,2.990566,0.133333,2.868979,0.2,0.5875,2.806014,0.2875,0.6
35,2.881576,0.1625,2.733115,0.2125,0.5875,2.638249,0.2875,0.6125
36,2.700315,0.229167,2.622756,0.175,0.55,2.460683,0.2125,0.75
37,2.661833,0.2375,2.586225,0.2375,0.6125,2.358545,0.3,0.75
38,2.458801,0.258333,2.562569,0.2375,0.625,2.340144,0.3625,0.7125
39,2.367745,0.316667,2.551161,0.2,0.6,2.232791,0.3625,0.7375
40,2.433616,0.2625,2.481007,0.2,0.6375,2.248355,0.2875,0.7625
41,2.238736,0.358333,2.406437,0.2375,0.675,2.189016,0.2875,0.775
42,2.253877,0.308333,2.475986,0.225,0.675,2.128263,0.3,0.8
43,2.062722,0.416667,2.400983,0.2625,0.675,2.151278,0.325,0.7375
44,2.086477,0.3625,2.297935,0.2875,0.725,1.990619,0.3375,0.75
45,2.064623,0.383333,2.334027,0.2625,0.7,2.027273,0.2875,0.8625
46,2.174923,0.3375,2.424643,0.2125,0.6875,2.008556,0.3,0.85
47,1.944849,0.4,2.284578,0.325,0.7375,2.047444,0.35,0.7875
48,2.018464,0.4,2.277801,0.2875,0.75,2.026349,0.3375,0.825
49,1.918784,0.408333,2.292352,0.25,0.7,1.926451,0.4,0.8375
50,1.911712,0.395833,2.327564,0.225,0.7,1.933988,0.3625,0.8125
51,1.879539,0.4375,2.273183,0.275,0.7375,1.934568,0.35,0.8625
52,1.784461,0.470833,2.274237,0.3125,0.7375,1.936066,0.45,0.8375
53,1.826646,0.4625,2.222678,0.3,0.7125,1.967702,0.35,0.8625
54,1.737514,0.408333,2.19171,0.3125,0.725,1.964353,0.3875,0.8125
55,1.806638,0.395833,2.228379,0.275,0.75,1.851051,0.425,0.8375
56,1.686969,0.454167,2.349403,0.25,0.6875,1.962635,0.3875,0.7875
57,1.727765,0.466667,2.247468,0.275,0.7125,1.899439,0.4375,0.8625
58,1.560201,0.479167,2.316192,0.275,0.7125,1.890678,0.375,0.7875
59,1.518752,0.520833,2.354118,0.3,0.6875,1.845873,0.425,0.875
60,1.512055,0.545833,2.289664,0.325,0.7,1.87901,0.4375,0.8875
61,1.544862,0.466667,2.310893,0.375,0.725,1.948231,0.375,0.85
62,1.384023,0.520833,2.37374,0.2875,0.725,1.855509,0.4375,0.85
63,1.35414,0.575,2.507225,0.3,0.6875,1.996519,0.35,0.7625
64,1.464687,0.554167,2.383656,0.3125,0.725,1.915825,0.425,0.7875
65,1.40828,0.55,2.473103,0.375,0.7,2.041752,0.3875,0.7875
66,1.32887,0.566667,2.371244,0.35,0.725,1.983374,0.425,0.825
67,1.37046,0.545833,2.269344,0.325,0.725,1.906088,0.4125,0.85
68,1.265398,0.579167,2.33361,0.2875,0.6875,1.916251,0.4375,0.8375
69,1.276085,0.595833,2.325098,0.275,0.7,1.888668,0.4375,0.825
