epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.69007,0.025,3.688496,0.025,0.1375,3.688341,0.025,0.15
2,3.689728,0.041667,3.687905,0.0375,0.1375,3.687771,0.025,0.15
3,3.68632,0.029167,3.687159,0.0375,0.1625,3.687014,0.025,0.15
4,3.686611,0.020833,3.686245,0.0375,0.175,3.686134,0.0375,0.1875
5,3.686058,0.033333,3.685284,0.0375,0.1625,3.685151,0.025,0.175
6,3.683178,0.045833,3.684299,0.0375,0.175,3.684129,0.0375,0.1875
7,3.684,0.025,3.683277,0.0375,0.175,3.683077,0.0375,0.1875
8,3.682027,0.0375,3.682063,0.0625,0.175,3.681838,0.0625,0.2
9,3.681333,0.033333,3.680595,0.0625,0.2375,3.680387,0.075,0.225
10,3.682531,0.033333,3.678936,0.075,0.225,3.678758,0.075,0.225
11,3.676626,0.05,3.676958,0.075,0.2125,3.676858,0.0625,0.225
12,3.67528,0.045833,3.674657,0.075,0.2125,3.674561,0.05,0.225
13,3.672525,0.070833,3.671999,0.075,0.225,3.671946,0.0625,0.225
14,3.67161,0.05,3.668852,0.075,0.2,3.668858,0.0625,0.2125
15,3.667997,0.054167,3.665025,0.0875,0.2125,3.665118,0.075,0.2
16,3.663887,0.058333,3.660186,0.1,0.2625,3.660378,0.075,0.2125
17,3.657813,0.05,3.654363,0.0875,0.2625,3.654559,0.075,0.25
18,3.651218,0.054167,3.646803,0.0875,0.2625,3.647122,0.0875,0.25
19,3.6419,0.058333,3.637197,0.0875,0.2375,3.637776,0.0875,0.2125
20,3.634628,0.0375,3.625132,0.1,0.225,3.625887,0.0875,0.2125
21,3.621058,0.0625,3.610042,0.0875,0.225,3.6109,0.0875,0.2125
22,3.600481,0.058333,3.589883,0.0875,0.2125,3.590902,0.0875,0.1875
23,3.588199,0.079167,3.563403,0.0875,0.2,3.565052,0.0875,0.1875
24,3.555708,0.058333,3.5301,0.0875,0.2,3.53239,0.0875,0.2
25,3.526396,0.079167,3.48471,0.0875,0.2125,3.488939,0.0875,0.2375
26,3.477974,0.091667,3.423407,0.1125,0.3,3.430742,0.0875,0.2625
27,3.427721,0.108333,3.339706,0.1125,0.3375,3.349831,0.1125,0.35
28,3.332513,0.1,3.221046,0.1125,0.525,3.232297,0.1125,0.475
29,3.238575,0.125,3.065725,0.1875,0.6,3.075572,0.2375,0.6625
30,3.08599,0.175,2.864357,0.2875,0.6625,2.872776,0.275,0.725
31,2.908481,0.208333,2.623621,0.3,0.6875,2.619671,0.3625,0.7625
32,2.709569,0.195833,2.345891,0.35,0.75,2.326249,0.4,0.825
33,2.441452,0.325,2.055789,0.4375,0.775,2.01429,0.5375,0.85
34,2.23001,0.3,1.859761,0.4375,0.8375,1.793374,0.5625,0.8625
35,2.242446,0.308333,1.706048,0.5125,0.9375,1.648981,0.5875,0.875
36,1.945347,0.404167,1.686558,0.5,0.875,1.534525,0.5625,0.9125
37,1.932611,0.383333,1.574826,0.55,0.9125,1.491555,0.525,0.925
38,1.769585,0.45,1.539603,0.5125,0.9125,1.400394,0.55,0.9
39,1.641141,0.470833,1.404727,0.525,0.8875,1.267537,0.6375,0.9
40,1.592586,0.545833,1.294488,0.575,0.95,1.26418,0.6125,0.9375
41,1.540557,0.516667,1.196038,0.6,0.9625,1.064511,0.675,0.9375
42,1.287821,0.583333,1.257116,0.6,0.95,1.075559,0.725,0.9375
43,1.190066,0.645833,1.20269,0.6125,0.9375,1.127449,0.65,0.9375
44,1.317915,0.5375,1.131292,0.625,0.95,0.952641,0.6625,0.9375
45,1.328382,0.558333,1.086342,0.65,0.925,0.969801,0.7,0.95
46,1.36842,0.533333,1.020453,0.6875,0.95,0.841949,0.7375,0.975
47,1.121211,0.641667,1.062523,0.6375,0.9625,0.94942,0.7125,0.95
48,1.269402,0.583333,0.953052,0.7,0.9625,0.897051,0.775,0.9625
49,1.098229,0.629167,0.938648,0.7,0.975,0.845896,0.775,0.9875
50,1.10159,0.616667,0.879941,0.775,0.95,0.816594,0.7875,0.975
51,0.994708,0.666667,0.868049,0.775,0.9625,0.834428,0.775,0.975
52,0.943058,0.708333,0.869216,0.775,0.975,0.772093,0.8,0.9625
53,0.928213,0.654167,0.764665,0.8,0.9625,0.761516,0.825,0.975
54,0.934667,0.695833,0.734844,0.8,0.9625,0.738308,0.8125,0.9625
55,1.007006,0.666667,0.786397,0.7625,0.975,0.720227,0.8375,0.9875
56,0.916934,0.6875,0.820475,0.7875,0.975,0.756951,0.7875,0.9625
57,0.889107,0.695833,0.781806,0.8,0.975,0.782312,0.8,0.975
58,0.792211,0.7375,0.777773,0.725,0.975,0.755824,0.775,0.975
59,0.810036,0.729167,0.685355,0.8,0.975,0.751203,0.8,0.975
60,0.88715,0.675,0.666358,0.8375,0.975,0.747311,0.8,0.975
61,0.743567,0.741667,0.668439,0.85,0.975,0.76161,0.85,0.9875
62,0.814553,0.7375,0.697435,0.8,0.9625,0.733743,0.7875,0.975
63,0.761139,0.75,0.706292,0.7375,0.9625,0.795996,0.7875,0.95
64,0.695192,0.779167,0.56234,0.85,0.975,0.686388,0.8,0.9625
65,0.857784,0.733333,0.544575,0.825,0.975,0.718541,0.8375,1.0
66,0.847361,0.675,0.607404,0.8125,0.975,0.760266,0.775,0.9875
67,0.734766,0.741667,0.611092,0.825,0.975,0.71331,0.825,0.9875
68,0.769524,0.766667,0.527787,0.8625,0.975,0.635633,0.8125,0.975
69,0.655912,0.754167,0.544313,0.8125,0.975,0.639512,0.8375,0.975
70,0.684312,0.8,0.556554,0.875,0.9875,0.565867,0.85,1.0
71,0.637095,0.795833,0.518092,0.85,0.975,0.543248,0.825,0.9875
72,0.676095,0.779167,0.520033,0.8375,0.975,0.595748,0.8625,0.9875
73,0.647104,0.783333,0.523792,0.85,0.9875,0.625477,0.8375,0.975
74,0.776503,0.733333,0.543649,0.8375,0.975,0.610616,0.85,0.975
75,0.711716,0.75,0.436096,0.8875,0.975,0.636361,0.85,0.975
76,0.680833,0.779167,0.487963,0.875,0.975,0.673289,0.85,0.9625
77,0.806809,0.729167,0.530189,0.825,0.975,0.605036,0.8625,0.9875
78,0.702572,0.775,0.624496,0.7625,0.975,0.712336,0.8,0.975
79,0.763066,0.7375,0.466112,0.8625,0.9875,0.665898,0.8125,0.9625
80,0.599843,0.791667,0.492942,0.85,0.975,0.63683,0.825,0.975
81,0.600054,0.820833,0.50548,0.85,0.9875,0.562815,0.8375,0.975
82,0.644374,0.75,0.452743,0.8375,0.9875,0.610381,0.8125,0.975
83,0.59045,0.808333,0.467081,0.825,0.9875,0.669309,0.8125,0.9875
84,0.682554,0.758333,0.482664,0.85,0.9875,0.528931,0.85,0.9875
85,0.650936,0.783333,0.475134,0.85,0.9875,0.533829,0.8375,0.9875
86,0.735214,0.766667,0.441211,0.875,0.9875,0.74458,0.825,0.975
87,0.67724,0.7875,0.449425,0.8625,0.9875,0.578296,0.875,0.975
88,0.573335,0.7875,0.485653,0.8625,0.9875,0.51539,0.875,0.975
89,0.649895,0.75,0.371364,0.8875,0.9875,0.526082,0.8875,0.9875
90,0.634367,0.7875,0.368135,0.9,0.975,0.604994,0.8625,0.9875
91,0.633113,0.7875,0.475172,0.8625,0.9875,0.670421,0.85,0.975
92,0.690778,0.779167,0.504586,0.8125,0.975,0.712958,0.825,0.975
93,0.717387,0.7375,0.515955,0.85,0.975,0.708667,0.825,0.9875
94,0.691724,0.7875,0.509275,0.8625,0.975,0.694886,0.775,0.975
95,0.70472,0.741667,0.466931,0.9125,0.975,0.667005,0.825,0.9875
96,0.609917,0.7875,0.48714,0.875,0.9875,0.612112,0.8625,0.975
97,0.591293,0.820833,0.490309,0.8625,0.975,0.568872,0.8625,0.9625
98,0.563081,0.820833,0.428796,0.8875,0.975,0.520736,0.8625,0.975
99,0.648293,0.7625,0.512228,0.8125,0.95,0.546574,0.875,0.975
100,0.662608,0.741667,0.421955,0.85,0.975,0.563268,0.8375,0.9875
