epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.689013,0.029167,3.688497,0.025,0.15,3.688468,0.025,0.125
2,3.689182,0.029167,3.688125,0.025,0.15,3.688109,0.025,0.1375
3,3.687449,0.016667,3.687609,0.025,0.15,3.687612,0.025,0.15
4,3.687448,0.020833,3.687012,0.025,0.1375,3.687015,0.0375,0.15
5,3.687383,0.033333,3.686394,0.0375,0.125,3.686384,0.0375,0.15
6,3.685184,0.029167,3.685715,0.0375,0.125,3.685706,0.0375,0.15
7,3.685847,0.029167,3.684958,0.05,0.15,3.684974,0.0375,0.15
8,3.683872,0.045833,3.684139,0.05,0.1875,3.684151,0.05,0.175
9,3.684192,0.045833,3.683212,0.075,0.1875,3.683248,0.075,0.175
10,3.684776,0.029167,3.682227,0.075,0.1875,3.682279,0.075,0.2
11,3.681803,0.045833,3.681132,0.1,0.2,3.681189,0.075,0.2375
12,3.680976,0.0375,3.679892,0.125,0.2,3.679933,0.0625,0.225
13,3.67952,0.05,3.678519,0.125,0.2,3.678542,0.0625,0.225
14,3.67818,0.041667,3.676894,0.125,0.225,3.676905,0.075,0.25
15,3.675717,0.054167,3.674994,0.125,0.225,3.674983,0.0875,0.25
16,3.674162,0.075,3.672678,0.1125,0.2375,3.672652,0.075,0.2625
17,3.671999,0.0625,3.670022,0.1,0.2375,3.669932,0.0625,0.2375
18,3.667258,0.058333,3.666752,0.075,0.2375,3.666589,0.05,0.225
19,3.664836,0.066667,3.662746,0.0625,0.225,3.662538,0.05,0.225
20,3.659972,0.066667,3.657861,0.0625,0.225,3.657597,0.05,0.2125
21,3.657058,0.058333,3.651889,0.05,0.2125,3.65159,0.05,0.2
22,3.644844,0.066667,3.644179,0.0625,0.225,3.643835,0.0375,0.1875
23,3.644153,0.070833,3.634386,0.0625,0.2375,3.633993,0.05,0.1875
24,3.63059,0.079167,3.62207,0.0625,0.2375,3.621532,0.05,0.1875
25,3.615732,0.0625,3.605958,0.075,0.2,3.60546,0.05,0.1875
26,3.597053,0.058333,3.585369,0.075,0.2,3.584867,0.05,0.2
27,3.578629,0.054167,3.559033,0.075,0.225,3.558471,0.05,0.1875
28,3.540421,0.066667,3.52453,0.075,0.2,3.5237,0.05,0.2
29,3.520358,0.0625,3.481906,0.0875,0.2,3.480885,0.05,0.2125
30,3.46277,0.075,3.42891,0.1,0.225,3.428226,0.075,0.2125
31,3.441954,0.066667,3.364194,0.1,0.2875,3.363572,0.0875,0.2875
32,3.372342,0.066667,3.282967,0.1,0.325,3.282253,0.0875,0.3375
33,3.277745,0.0875,3.178609,0.125,0.4,3.177926,0.125,0.4375
34,3.195153,0.095833,3.053561,0.2,0.4875,3.04899,0.225,0.4875
35,3.098587,0.15,2.914892,0.2375,0.575,2.904574,0.3,0.55
36,2.992627,0.1375,2.7569,0.25,0.625,2.737713,0.325,0.6
37,2.884621,0.1875,2.599459,0.2875,0.6125,2.5617,0.3125,0.675
38,2.736645,0.2,2.455935,0.2875,0.6125,2.389152,0.35,0.7
39,2.612712,0.229167,2.301465,0.3875,0.7,2.232234,0.4125,0.7375
40,2.429207,0.233333,2.188975,0.3875,0.7375,2.10755,0.45,0.8
41,2.287506,0.308333,2.064279,0.4,0.7625,1.990031,0.45,0.775
42,2.113161,0.316667,1.91602,0.4,0.7875,1.856589,0.45,0.7875
43,1.972134,0.345833,1.804464,0.4625,0.8125,1.751214,0.5375,0.825
44,1.927715,0.416667,1.747144,0.4875,0.85,1.672285,0.475,0.8875
45,1.894883,0.366667,1.708586,0.425,0.8625,1.610847,0.5,0.8625
46,1.908011,0.4,1.626648,0.4875,0.8625,1.556183,0.55,0.875
47,1.6095,0.495833,1.706849,0.45,0.9,1.670829,0.4875,0.8625
48,1.690104,0.433333,1.429784,0.575,0.8875,1.439238,0.575,0.9
49,1.605805,0.520833,1.41656,0.575,0.9375,1.388981,0.575,0.925
50,1.493546,0.5375,1.312811,0.6,0.9,1.291625,0.6,0.9125
51,1.448514,0.545833,1.454293,0.6375,0.9125,1.345095,0.65,0.925
52,1.45104,0.566667,1.286065,0.5875,0.925,1.228437,0.65,0.925
53,1.259887,0.5875,1.304873,0.6375,0.925,1.193053,0.6125,0.925
54,1.277922,0.608333,1.235056,0.65,0.9125,1.119745,0.6875,0.9375
55,1.341032,0.583333,1.341912,0.6375,0.925,1.268229,0.675,0.9625
56,1.237016,0.629167,1.245725,0.6625,0.9125,1.201094,0.6125,0.9625
57,1.167638,0.6125,1.253417,0.6375,0.925,1.179959,0.625,0.9375
58,1.238833,0.6125,1.150196,0.675,0.925,1.149895,0.6375,0.925
59,1.150738,0.629167,1.200577,0.6125,0.925,1.214858,0.625,0.9625
60,1.134733,0.6375,1.199435,0.6125,0.9375,1.25,0.55,0.9625
61,1.232177,0.554167,1.103663,0.6625,0.9375,1.17499,0.625,0.9375
62,1.183608,0.6125,1.186522,0.65,0.9125,1.219819,0.6375,0.95
63,1.075665,0.620833,1.091947,0.675,0.925,1.169842,0.6375,0.9375
64,1.164995,0.625,1.187416,0.725,0.9125,1.173202,0.6375,0.9375
65,1.12065,0.620833,0.948601,0.7875,0.9375,0.967389,0.725,0.95
66,1.140141,0.625,0.991752,0.75,0.9625,1.037824,0.6625,0.95
67,1.136037,0.595833,1.071445,0.725,0.925,1.080662,0.6625,0.95
68,1.059065,0.658333,1.053246,0.7125,0.95,1.087609,0.6375,0.9625
69,0.941421,0.695833,0.994104,0.725,0.9375,1.007682,0.6625,0.9625
