epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.689729,0.020833,3.68852,0.025,0.125,3.688323,0.0375,0.1375
2,3.689491,0.0375,3.688002,0.025,0.125,3.687848,0.0375,0.1375
3,3.686762,0.033333,3.687297,0.025,0.1375,3.68723,0.0375,0.1375
4,3.6868,0.016667,3.686473,0.0375,0.15,3.686487,0.0375,0.1625
5,3.686571,0.0375,3.685598,0.05,0.15,3.685612,0.0375,0.1875
6,3.683881,0.033333,3.684639,0.05,0.175,3.684621,0.05,0.2125
7,3.684748,0.020833,3.683617,0.0625,0.1875,3.683582,0.0625,0.2125
8,3.682566,0.045833,3.682497,0.075,0.175,3.682437,0.05,0.225
9,3.681862,0.045833,3.681194,0.075,0.1625,3.681134,0.0625,0.1875
10,3.682997,0.033333,3.679784,0.0875,0.2,3.679721,0.075,0.175
11,3.678621,0.054167,3.678188,0.1,0.225,3.678128,0.075,0.2125
12,3.676929,0.041667,3.676294,0.075,0.2125,3.676275,0.05,0.2125
13,3.675244,0.058333,3.674126,0.0875,0.2125,3.674152,0.05,0.2125
14,3.674574,0.0375,3.671583,0.0875,0.225,3.671645,0.075,0.1875
15,3.670542,0.058333,3.668545,0.075,0.225,3.668645,0.075,0.2375
16,3.667182,0.058333,3.664754,0.075,0.2,3.664857,0.075,0.2375
17,3.662429,0.054167,3.660203,0.1,0.25,3.660336,0.0875,0.225
18,3.656639,0.05,3.654469,0.1,0.25,3.654672,0.0875,0.2125
19,3.651184,0.0625,3.647196,0.1,0.2375,3.647534,0.1,0.225
20,3.643835,0.041667,3.638177,0.1,0.2625,3.638525,0.1,0.225
21,3.635734,0.066667,3.62678,0.1,0.25,3.627279,0.1,0.2
22,3.617034,0.083333,3.611433,0.1,0.2375,3.612202,0.0875,0.2125
23,3.611186,0.054167,3.591464,0.1,0.2375,3.592541,0.0875,0.2125
24,3.584167,0.0625,3.566497,0.1,0.2125,3.567795,0.0875,0.225
25,3.559219,0.079167,3.533536,0.1,0.2,3.535802,0.0875,0.225
26,3.526437,0.083333,3.490916,0.1125,0.2125,3.493971,0.0875,0.225
27,3.486339,0.0875,3.434924,0.1125,0.2375,3.439192,0.1125,0.2375
28,3.42035,0.1,3.357444,0.1125,0.325,3.363169,0.1125,0.3125
29,3.371254,0.070833,3.254344,0.1375,0.5125,3.259481,0.1375,0.4875
30,3.249507,0.15,3.12045,0.175,0.525,3.124325,0.2125,0.55
31,3.15052,0.154167,2.94525,0.2125,0.6,2.946365,0.2375,0.675
32,2.997432,0.170833,2.726407,0.275,0.625,2.724448,0.3375,0.6875
33,2.77717,0.258333,2.483969,0.275,0.6875,2.465634,0.35,0.7125
34,2.576858,0.216667,2.251964,0.3875,0.75,2.193586,0.4875,0.8125
35,2.483271,0.241667,2.013451,0.45,0.8125,1.95684,0.475,0.8125
36,2.196695,0.316667,1.86623,0.4625,0.875,1.783244,0.5125,0.9
37,2.157609,0.329167,1.69531,0.55,0.9,1.631557,0.525,0.8875
38,1.936694,0.358333,1.638505,0.4875,0.875,1.575565,0.4625,0.875
39,1.767847,0.433333,1.557544,0.525,0.8625,1.498885,0.6,0.9
40,1.659545,0.4875,1.492122,0.5375,0.9,1.437387,0.575,0.9
41,1.711272,0.495833,1.318781,0.575,0.9125,1.217851,0.7,0.95
42,1.396124,0.529167,1.287153,0.625,0.95,1.208833,0.6375,0.925
43,1.386826,0.554167,1.213799,0.6875,0.95,1.100593,0.675,0.9375
44,1.332744,0.579167,1.270966,0.575,0.9375,1.134518,0.625,0.9375
45,1.329711,0.520833,1.160242,0.625,0.9375,1.188711,0.625,0.9625
46,1.245143,0.579167,1.151919,0.65,0.95,1.057376,0.675,0.9625
47,1.145149,0.6375,0.988389,0.675,0.925,0.915851,0.6875,0.975
48,1.158102,0.616667,0.879405,0.7625,0.925,0.826532,0.775,0.95
49,1.0268,0.658333,0.898618,0.725,0.95,0.8599,0.725,0.975
50,1.074187,0.645833,0.783436,0.775,0.975,0.851193,0.75,0.975
51,1.049902,0.641667,0.782604,0.775,0.975,0.81646,0.7875,0.975
52,0.952765,0.6625,0.766669,0.7125,0.9625,0.696235,0.825,0.975
53,0.945041,0.666667,0.855138,0.675,0.9375,0.760271,0.8,0.975
54,0.836668,0.7125,0.790488,0.75,0.95,0.733018,0.8,0.9625
55,0.916868,0.695833,0.750736,0.775,0.95,0.709072,0.8,0.9875
56,0.791365,0.75,0.749993,0.7875,0.975,0.707766,0.775,0.975
57,0.888102,0.725,0.84393,0.675,0.9625,0.796244,0.725,0.975
58,0.918106,0.7,0.788448,0.7375,0.9375,0.832976,0.7875,0.9875
59,0.924913,0.704167,0.752331,0.775,0.95,0.78844,0.8125,0.9875
60,0.830369,0.741667,0.689757,0.8375,0.9625,0.69826,0.7875,0.9875
61,0.895271,0.7125,0.659694,0.825,0.975,0.659218,0.825,0.9875
62,0.783872,0.7375,0.7078,0.825,0.95,0.766697,0.8125,0.9875
63,0.751234,0.725,0.80362,0.75,0.9375,0.848118,0.7625,0.9875
64,0.863796,0.75,0.754652,0.7375,0.975,0.702976,0.7875,0.9625
65,0.977464,0.675,0.699732,0.8,0.975,0.771244,0.8,0.975
66,0.829856,0.733333,0.744164,0.775,0.9625,0.861848,0.725,0.95
67,0.859933,0.720833,0.632912,0.825,0.9875,0.717163,0.8375,0.9625
68,0.714551,0.758333,0.753577,0.7625,0.975,0.763014,0.7875,0.975
69,0.766614,0.775,0.743394,0.725,0.975,0.786325,0.7875,0.9875
70,0.894466,0.683333,0.603277,0.7875,0.975,0.69606,0.825,0.975
71,0.745552,0.754167,0.592775,0.7625,0.9875,0.605525,0.8125,0.975
72,0.77845,0.745833,0.582681,0.8,0.9875,0.660579,0.85,0.975
73,0.825309,0.716667,0.502643,0.8,0.9875,0.61218,0.8375,0.9875
74,0.687133,0.779167,0.467623,0.8375,0.9875,0.677822,0.825,0.9875
75,0.712031,0.741667,0.432971,0.8625,0.975,0.661621,0.825,0.9625
76,0.697759,0.745833,0.46518,0.875,0.975,0.594672,0.85,0.9625
77,0.628086,0.775,0.538753,0.825,0.9625,0.701439,0.825,0.9625
78,0.688327,0.7875,0.48972,0.875,0.975,0.679602,0.8625,0.95
79,0.760027,0.741667,0.508474,0.8625,0.9875,0.593322,0.875,0.975
80,0.55421,0.816667,0.578058,0.8125,0.9875,0.600216,0.85,0.9625
81,0.710893,0.725,0.511874,0.85,0.9875,0.611027,0.85,0.9625
82,0.695972,0.754167,0.490945,0.8375,0.9625,0.683824,0.8,0.9625
83,0.691176,0.754167,0.463601,0.8375,0.975,0.73284,0.7875,0.9625
