epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.690128,0.020833,3.688697,0.0125,0.125,3.688766,0.0125,0.15
2,3.689886,0.045833,3.688117,0.025,0.1375,3.688219,0.0125,0.1375
3,3.686244,0.025,3.687361,0.0375,0.1625,3.687474,0.0125,0.1625
4,3.686496,0.020833,3.686486,0.0375,0.175,3.686543,0.025,0.175
5,3.68631,0.0375,3.685527,0.0375,0.175,3.685541,0.025,0.1875
6,3.682617,0.033333,3.68451,0.025,0.1625,3.684513,0.025,0.175
7,3.683978,0.029167,3.683455,0.0375,0.2,3.683398,0.0125,0.2
8,3.681751,0.05,3.682243,0.05,0.225,3.682123,0.0375,0.1875
9,3.680948,0.0375,3.680796,0.075,0.225,3.680623,0.05,0.225
10,3.68273,0.025,3.679145,0.075,0.2625,3.67892,0.0625,0.25
11,3.676615,0.041667,3.677171,0.075,0.2625,3.67697,0.05,0.2625
12,3.674674,0.041667,3.674817,0.0625,0.2625,3.674646,0.075,0.25
13,3.672288,0.054167,3.67209,0.05,0.25,3.671919,0.075,0.2375
14,3.671147,0.045833,3.668747,0.05,0.25,3.668582,0.075,0.2125
15,3.668,0.0625,3.66481,0.0625,0.2375,3.664664,0.0625,0.2
16,3.662731,0.05,3.659971,0.075,0.2375,3.659894,0.0875,0.2375
17,3.657569,0.045833,3.654136,0.075,0.2375,3.654023,0.0875,0.2375
18,3.649662,0.054167,3.646503,0.0875,0.2375,3.646432,0.1,0.2375
19,3.641248,0.0625,3.636826,0.0875,0.225,3.63675,0.1,0.2125
20,3.632115,0.041667,3.624587,0.0875,0.2125,3.624281,0.1,0.2125
21,3.618362,0.066667,3.608842,0.0875,0.2,3.608285,0.1,0.2
22,3.594574,0.070833,3.587177,0.0875,0.2,3.586594,0.1,0.1875
23,3.580369,0.075,3.558575,0.075,0.2125,3.558488,0.0875,0.25
24,3.544311,0.066667,3.522877,0.0875,0.225,3.523096,0.1,0.25
25,3.518289,0.083333,3.474555,0.1,0.2375,3.475318,0.1,0.275
26,3.469093,0.0875,3.409291,0.1125,0.3125,3.411083,0.1,0.3
27,3.408829,0.0875,3.319363,0.1125,0.4625,3.32198,0.1125,0.45
28,3.300222,0.133333,3.188653,0.125,0.5625,3.191289,0.1875,0.5625
29,3.20572,0.129167,3.021948,0.2625,0.6375,3.022364,0.275,0.675
30,3.041141,0.191667,2.813222,0.275,0.675,2.803168,0.275,0.7125
31,2.835471,0.195833,2.574517,0.275,0.6875,2.54619,0.2875,0.7875
32,2.677856,0.195833,2.311705,0.3125,0.7875,2.266653,0.4,0.8875
33,2.391137,0.283333,2.063516,0.375,0.8375,2.017331,0.5125,0.85
34,2.277485,0.3,1.882541,0.45,0.8625,1.852382,0.45,0.8625
35,2.269078,0.295833,1.770761,0.45,0.8875,1.750704,0.55,0.8875
36,2.021212,0.341667,1.80591,0.4,0.825,1.707361,0.525,0.8875
37,1.990453,0.383333,1.681149,0.4875,0.875,1.598581,0.5375,0.8875
38,1.795722,0.383333,1.617376,0.4875,0.8375,1.539623,0.575,0.8625
39,1.812658,0.425,1.554042,0.5,0.825,1.487224,0.625,0.875
40,1.725486,0.4,1.52086,0.5625,0.825,1.503925,0.55,0.9125
41,1.743464,0.4625,1.408453,0.5375,0.95,1.352552,0.55,0.95
42,1.461551,0.525,1.461651,0.55,0.9125,1.367521,0.6125,0.925
43,1.366455,0.575,1.4626,0.5375,0.9375,1.368063,0.6,0.9375
44,1.466635,0.508333,1.372456,0.5875,0.9125,1.357566,0.575,0.95
45,1.561488,0.541667,1.36262,0.625,0.8875,1.279091,0.6125,0.925
46,1.467146,0.5375,1.328179,0.6,0.8875,1.319021,0.6,0.95
47,1.32613,0.5375,1.278609,0.6,0.875,1.277072,0.625,0.9375
48,1.258009,0.575,1.201633,0.6375,0.9375,1.234933,0.6875,0.9125
49,1.381262,0.575,1.286859,0.525,0.9375,1.256794,0.6625,0.9125
50,1.296802,0.55,1.239468,0.6125,0.9375,1.172595,0.65,0.9375
51,1.254378,0.5875,1.143296,0.65,0.9,1.107471,0.6875,0.95
52,1.319443,0.529167,1.161463,0.5875,0.925,1.122517,0.7125,0.925
53,1.207616,0.6,1.236809,0.625,0.925,1.176113,0.7,0.9125
54,1.259783,0.5875,1.164405,0.6,0.9375,1.137202,0.7125,0.9375
55,1.301902,0.570833,1.113948,0.6125,0.9125,1.069744,0.6375,0.95
56,1.171102,0.608333,1.108578,0.6375,0.9625,1.071223,0.7125,0.95
57,1.124191,0.6,1.186144,0.625,0.9375,1.149802,0.675,0.95
58,1.196347,0.604167,1.037074,0.7,0.9625,1.121175,0.6375,0.95
59,1.207803,0.625,1.058537,0.675,0.95,1.137782,0.7,0.9375
60,1.066918,0.633333,1.122807,0.6125,0.95,1.141278,0.65,0.9625
61,1.276668,0.575,1.083637,0.675,0.925,1.200783,0.5875,0.925
62,1.089263,0.604167,1.120537,0.6375,0.9125,1.205254,0.6625,0.9125
63,0.990101,0.620833,1.102219,0.6125,0.95,1.149999,0.6625,0.9875
64,1.06492,0.625,0.9802,0.7,0.9625,1.079423,0.6875,0.975
65,1.052245,0.641667,1.050394,0.6375,0.9625,1.114507,0.7125,0.9875
66,1.17817,0.683333,1.105697,0.675,0.95,1.090803,0.7,0.9625
67,1.130645,0.595833,1.073686,0.7125,0.9625,1.110807,0.6625,0.95
68,1.088584,0.6375,1.011448,0.75,0.925,1.188197,0.65,0.9375
69,1.064759,0.620833,1.018463,0.6625,0.95,1.133683,0.675,0.95
70,1.105058,0.6375,1.15909,0.575,0.925,1.221381,0.6125,0.95
71,1.102901,0.641667,1.216155,0.5875,0.9375,1.207493,0.675,0.9375
72,1.073987,0.629167,1.224553,0.575,0.9375,1.139708,0.6875,0.95
73,1.192172,0.604167,1.117636,0.55,0.95,1.180614,0.675,0.9375
74,1.095069,0.641667,1.079325,0.7,0.9625,1.202852,0.6375,0.9375
75,1.056471,0.645833,1.115898,0.6625,0.9625,1.291866,0.6625,0.975
76,1.023846,0.616667,1.117376,0.65,0.95,1.177747,0.65,0.9625
77,1.19186,0.608333,1.021686,0.6375,0.9375,1.128363,0.6625,0.975
78,1.054568,0.620833,1.060361,0.6125,0.9375,1.183725,0.675,0.95
79,1.076595,0.654167,1.007703,0.6625,0.95,1.183758,0.675,0.925
80,1.16304,0.6,0.984872,0.65,0.9375,1.096992,0.7,0.975
81,0.941059,0.683333,0.997965,0.675,0.9375,1.101863,0.7375,0.9625
82,1.199224,0.608333,0.931234,0.675,0.95,1.091561,0.725,0.95
83,0.915929,0.7,0.8463,0.7125,0.95,1.11264,0.7375,0.9625
84,0.878343,0.720833,0.934807,0.65,0.95,1.123275,0.6625,0.95
85,1.043149,0.633333,0.987103,0.6375,0.95,1.053449,0.7125,0.9625
86,0.935698,0.7,0.979571,0.7,0.95,1.061455,0.6875,0.95
87,0.979392,0.645833,0.954271,0.7125,0.95,1.087906,0.7125,0.95
88,0.965714,0.658333,1.047158,0.6625,0.9375,1.148101,0.625,0.9625
89,0.95123,0.6625,1.007444,0.6625,0.9625,1.126631,0.65,0.975
90,0.972405,0.675,1.064833,0.6375,0.9375,1.173175,0.65,0.9625
91,0.904403,0.708333,1.105807,0.6375,0.95,1.23368,0.6625,0.925
92,0.839517,0.704167,1.040889,0.6125,0.95,1.257037,0.7125,0.9375
93,0.93701,0.683333,1.004983,0.6375,0.95,1.172809,0.6875,0.95
94,0.827161,0.745833,1.059235,0.6375,0.9375,1.071545,0.65,0.975
95,0.903796,0.670833,1.04054,0.65,0.9625,1.089588,0.625,0.975
96,0.940248,0.683333,1.048222,0.6,0.9625,1.032858,0.6375,0.9875
97,0.859318,0.691667,1.043106,0.575,0.95,0.995267,0.7125,0.9875
98,0.794868,0.733333,1.043473,0.5875,0.9375,1.143272,0.7125,0.975
99,0.922632,0.704167,1.016449,0.6625,0.9375,1.173289,0.7,0.975
100,0.808274,0.716667,0.935775,0.65,0.95,1.163757,0.6625,1.0
