epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.69293,0.029167,3.689166,0.0125,0.1375,3.68903,0.0125,0.15
2,3.692472,0.029167,3.688763,0.0125,0.1375,3.688553,0.0125,0.175
3,3.687838,0.029167,3.688175,0.025,0.2,3.688024,0.025,0.1875
4,3.688005,0.029167,3.687673,0.025,0.15,3.687447,0.025,0.1875
5,3.688575,0.029167,3.687112,0.0125,0.1625,3.686797,0.0,0.125
6,3.683296,0.041667,3.686418,0.0375,0.125,3.686008,0.025,0.125
7,3.685602,0.033333,3.6857,0.0375,0.125,3.685335,0.0125,0.125
8,3.684824,0.0375,3.684777,0.0375,0.125,3.68443,0.025,0.125
9,3.683384,0.045833,3.683633,0.05,0.1375,3.683514,0.025,0.1375
10,3.688639,0.0375,3.682521,0.0375,0.1625,3.682608,0.0375,0.175
11,3.680502,0.025,3.681495,0.05,0.225,3.681627,0.0375,0.2
12,3.68112,0.020833,3.68029,0.075,0.2375,3.680579,0.0625,0.2
13,3.676973,0.041667,3.678988,0.0875,0.2125,3.679475,0.075,0.1875
14,3.680898,0.045833,3.677558,0.15,0.225,3.678211,0.075,0.2125
15,3.679825,0.058333,3.676082,0.0875,0.2125,3.676814,0.075,0.2
16,3.674726,0.054167,3.674241,0.0875,0.2375,3.675064,0.075,0.2
17,3.672753,0.0375,3.672246,0.0875,0.225,3.673162,0.0875,0.2
18,3.672014,0.041667,3.66976,0.075,0.2375,3.670852,0.075,0.2
19,3.664833,0.054167,3.666881,0.0625,0.2125,3.667973,0.0375,0.2125
20,3.667553,0.0375,3.663335,0.05,0.2,3.664444,0.0375,0.1875
21,3.660571,0.075,3.65921,0.05,0.1875,3.660496,0.0375,0.175
22,3.65518,0.054167,3.654181,0.0625,0.2,3.655656,0.0375,0.175
23,3.650507,0.054167,3.647832,0.05,0.175,3.64987,0.025,0.1625
24,3.644073,0.041667,3.640206,0.0375,0.175,3.642762,0.025,0.1875
25,3.6407,0.045833,3.631104,0.05,0.2125,3.634544,0.0375,0.2125
26,3.632048,0.070833,3.620723,0.05,0.225,3.624786,0.05,0.225
27,3.622747,0.058333,3.607567,0.0625,0.25,3.612685,0.05,0.25
28,3.601327,0.0625,3.59028,0.0625,0.25,3.595558,0.05,0.25
29,3.578395,0.079167,3.567429,0.0625,0.275,3.573285,0.0625,0.2875
30,3.558804,0.083333,3.53812,0.0625,0.35,3.546108,0.075,0.3375
31,3.525935,0.066667,3.497898,0.0875,0.4375,3.509334,0.0625,0.4
32,3.486838,0.079167,3.442443,0.1,0.4,3.45734,0.1,0.4625
33,3.43726,0.0875,3.375185,0.1375,0.4875,3.390892,0.15,0.525
34,3.372286,0.1125,3.282091,0.1875,0.5625,3.29841,0.225,0.5625
35,3.305569,0.125,3.159705,0.25,0.6,3.18122,0.25,0.5875
36,3.188984,0.170833,3.008546,0.2,0.625,3.032259,0.2375,0.5875
37,3.096012,0.158333,2.85839,0.1875,0.65,2.882766,0.2,0.6375
38,2.94421,0.179167,2.719415,0.25,0.7,2.731488,0.2875,0.675
39,2.813693,0.204167,2.581214,0.3125,0.7375,2.607594,0.2875,0.65
40,2.675633,0.254167,2.439772,0.3375,0.75,2.434848,0.325,0.7
41,2.521165,0.2375,2.357449,0.3,0.7375,2.339804,0.325,0.7
42,2.497861,0.275,2.190163,0.3375,0.775,2.158816,0.3625,0.7625
43,2.278211,0.308333,2.099019,0.3875,0.8,2.055254,0.4125,0.8125
44,2.19293,0.320833,2.101606,0.4,0.8125,2.130406,0.35,0.8
45,2.209512,0.279167,2.122688,0.25,0.8125,2.105323,0.425,0.75
46,2.214527,0.295833,1.894176,0.4,0.85,1.949211,0.3625,0.825
